#{"t_start": 1711371070.8182018, "env_id": "None"}
r,l,t
340.0,1081,2272.237859
600.0,1710,2276.594915
200.0,694,2278.27072
120.0,509,2279.672617
360.0,1102,2282.432313
500.0,1417,2285.766247
240.0,822,2288.025371
160.0,586,2289.45584
320.0,1029,2291.881896
160.0,586,2293.259645
520.0,1399,2296.886907
360.0,1153,2299.99501
620.0,1690,2304.278147
340.0,897,2306.719914
220.0,740,2308.766922
520.0,1455,2312.306913
300.0,954,2314.876331
380.0,1145,2317.625857
360.0,1168,2320.370702
560.0,1498,2324.496219
180.0,632,2326.215036
580.0,1455,2330.125704
280.0,939,2332.362122
400.0,1186,2335.534374
280.0,922,2337.748372
340.0,1013,2340.449507
600.0,1783,2345.022006
440.0,1327,2348.202243
460.0,1386,2351.513586
800.0,2156,2356.881449
320.0,966,2359.19383
360.0,1080,2362.077064
580.0,1539,2365.848403
420.0,1196,2368.963412
340.0,1025,2371.568363
380.0,1124,2374.57036
340.0,952,2376.793953
460.0,1303,2380.3713
460.0,1279,2383.619321
360.0,1041,2386.140329
280.0,924,2388.365091
100.0,620,2390.195185
460.0,1213,2393.510887
300.0,929,2395.746768
540.0,1520,2399.319408
360.0,1105,2402.306712
520.0,1509,2406.250192
700.0,1930,2411.174035
400.0,1134,2414.118319
440.0,1201,2417.091666
440.0,1307,2420.426086
360.0,1005,2422.925229
420.0,1247,2426.231386
300.0,926,2428.404555
300.0,876,2430.494066
340.0,954,2432.72649
440.0,1344,2436.439999
220.0,700,2438.321523
260.0,778,2440.122772
380.0,1006,2442.831458
320.0,1020,2445.316488
560.0,1485,2449.200094
300.0,938,2451.735994
180.0,654,2453.284264
480.0,1336,2456.485513
260.0,829,2458.815759
380.0,1020,2461.479028
300.0,1004,2463.899453
460.0,1231,2467.166561
400.0,1067,2469.732348
200.0,749,2471.505523
360.0,1083,2474.036723
500.0,1355,2477.576455
220.0,724,2479.337932
300.0,967,2481.923752
400.0,1210,2484.920866
260.0,798,2487.066886
400.0,1107,2490.027448
200.0,711,2492.028628
340.0,967,2494.331708
380.0,1165,2497.378224
440.0,1227,2500.637093
620.0,1866,2505.838187
360.0,1085,2508.442117
240.0,859,2510.906545
300.0,924,2513.138294
580.0,1660,2517.401383
300.0,884,2519.595954
320.0,924,2522.012053
260.0,908,2524.326911
480.0,1360,2527.726195
240.0,768,2529.533688
280.0,929,2532.050137
240.0,734,2533.851812
520.0,1531,2537.82701
260.0,847,2539.851993
340.0,1084,2542.415425
320.0,1034,2544.879374
280.0,891,2547.289218
280.0,895,2549.448957
400.0,1183,2552.572263
300.0,960,2555.128376
280.0,905,2557.60078
340.0,1006,2560.038036
280.0,895,2562.447047
400.0,1181,2565.409645
220.0,845,2567.584266
460.0,1370,2571.226925
360.0,1077,2573.754392
420.0,1174,2576.804672
360.0,1101,2579.375692
420.0,1267,2582.417444
380.0,1160,2585.481907
340.0,1050,2588.232692
340.0,995,2590.717039
340.0,1073,2593.614919
260.0,876,2595.94542
360.0,1087,2598.505749
220.0,706,2600.385636
380.0,1083,2603.264585
460.0,1226,2606.237908
360.0,1087,2608.810112
240.0,843,2611.042992
440.0,1270,2614.161945
440.0,1158,2617.200745
460.0,1478,2621.017205
240.0,852,2623.039576
280.0,908,2625.183793
300.0,961,2627.511249
200.0,682,2629.327546
160.0,620,2631.118567
260.0,849,2633.103997
240.0,779,2635.170855
200.0,643,2636.792882
400.0,1210,2639.733069
500.0,1401,2643.349295
420.0,1215,2646.522748
320.0,926,2648.733664
640.0,1759,2653.194482
400.0,1212,2656.372838
360.0,1138,2659.049717
620.0,1606,2662.813701
320.0,954,2665.333487
