#{"t_start": 1711578780.53631, "env_id": "None"}
r,l,t
260.0,794,1450.969543
300.0,808,1453.081477
340.0,901,1455.657027
200.0,758,1458.737257
340.0,879,1462.419984
180.0,638,1465.093239
320.0,903,1468.230981
260.0,826,1470.558175
300.0,929,1473.111274
380.0,1050,1476.101957
280.0,761,1478.02243
140.0,603,1479.815255
340.0,946,1482.217266
280.0,768,1484.534959
500.0,1237,1488.093316
340.0,1221,1491.312322
340.0,980,1494.578466
260.0,800,1496.9355
380.0,1012,1499.535547
180.0,676,1501.551297
540.0,1292,1504.951204
120.0,548,1506.576566
300.0,940,1509.325347
340.0,922,1511.946939
440.0,1027,1514.85505
440.0,1130,1518.445395
440.0,1153,1523.135707
460.0,1061,1527.244725
320.0,929,1529.95113
360.0,994,1532.771581
180.0,673,1534.588845
400.0,1098,1537.766987
320.0,897,1540.298677
240.0,863,1542.612002
320.0,862,1545.013732
320.0,873,1547.620296
260.0,812,1550.091006
460.0,1120,1553.236513
340.0,937,1555.63795
340.0,884,1558.205655
380.0,1111,1561.47049
200.0,740,1563.684577
440.0,999,1566.57957
180.0,591,1568.08971
520.0,1297,1571.767379
400.0,1034,1574.702097
520.0,1290,1579.487963
220.0,770,1582.62896
440.0,1198,1587.384622
380.0,1033,1590.050281
320.0,1081,1593.225892
320.0,823,1595.357041
340.0,938,1598.031718
420.0,1042,1601.003595
380.0,987,1603.887152
360.0,969,1606.69267
440.0,1186,1610.062741
520.0,1237,1613.573797
360.0,1124,1616.788098
320.0,937,1619.16226
360.0,979,1622.051284
180.0,675,1624.092302
300.0,1040,1626.76718
420.0,1058,1629.763296
280.0,825,1632.188807
140.0,588,1633.844049
260.0,745,1635.980963
280.0,922,1639.920477
280.0,896,1643.477673
340.0,878,1647.027085
480.0,1159,1650.407635
240.0,795,1652.633423
360.0,963,1655.292
380.0,1041,1658.222282
380.0,1053,1661.214014
240.0,741,1663.21629
320.0,831,1665.66037
360.0,1050,1668.553945
340.0,1056,1671.619371
420.0,1097,1674.736017
300.0,792,1676.917427
580.0,1361,1680.889589
340.0,1002,1683.704271
400.0,1053,1686.560663
200.0,664,1688.426731
480.0,1195,1691.578756
260.0,806,1693.978722
240.0,778,1695.950141
260.0,842,1699.39631
200.0,683,1702.0935
260.0,778,1705.494394
460.0,1158,1708.929689
380.0,1034,1711.879356
260.0,795,1714.046974
200.0,755,1716.116496
440.0,1054,1719.148992
400.0,1115,1722.363195
340.0,899,1724.952672
400.0,1016,1727.813517
440.0,1194,1731.721971
240.0,732,1733.796291
380.0,1114,1736.904754
